id,address,at_street,description,latitude,longitude,municipality,name,on_street
"7961",,"Heard Road",,"42.43183","-71.17617","Arlington","Forest St @ Heard Rd","Forest Street"
"3210",,"Beach Street",,"42.276116","-71.013813","Quincy","Billings Rd @ Beach St","Billings Road"
"5725",,"Crescent Avenue",,"42.395377","-71.029581","Chelsea","Broadway @ Crescent Ave","Broadway"
"78988",,"Westview Street",,"42.475275","-71.253381","Lexington","Hartwell Ave opp Westview St","Hartwell Avenue"
"74624","Silver Line Way and Starboard Way, Boston, MA 02210",,"Silver Line Way after Manulife Building - Silver Line - Airport/Design Center/Chelsea","42.347056","-71.038814","Boston","Silver Line Way after Manulife Building","Silver Line Way"
"3405",,"Furnace Avenue",,"42.245243","-71.027985","Quincy","Copeland St @ Furnace Ave","Copeland Street"
"78621",,"Woodcliff Drive",,"42.389324","-71.223303","Waltham","Forest St opp Woodcliff Dr","Forest Street"
"3286",,"Samosett Avenue",,"42.261276","-70.99311","Quincy","Sea St @ Samoset Ave","Sea Street"
"11545",,"Lee Street Extension",,"42.325809","-71.140476","Brookline","Lee St @ Boylston St","Lee Street"
"door-state-exchange",,,"State - Congress St (Exchange Place)","42.358413","-71.056499","Boston","State - Congress St (Exchange Place)",
"1216",,"Dimock Street",,"42.319449","-71.09816","Boston","Columbus Ave @ Dimock St","Columbus Avenue"
"2634",,"Curtis Street",,"42.403375","-71.127338","Somerville","Broadway @ Curtis St","Broadway"
"door-cntsq-prospect",,,"Central - Prospect St","42.365778","-71.104131","Cambridge","Central - Prospect St",
"7340",,,,"42.510149","-70.989516","Lynn","Lynnfield St opp Lookout Terr","Lynnfield Street"
"3126",,"West Squantum Street",,"42.275935","-71.027749","Quincy","E Squantum St @ Hancock St","East Squantum Street"
"1154",,"Bromley Street",,"42.325366","-71.099579","Boston","Heath St @ Bromley St","Heath Street"
"386",,"Crawford Street",,"42.310509","-71.083162","Boston","Warren St @ Sunderland St","Warren Street"
"node-tumnl-trenbstairs-lobby",,,"Tufts Medical Center - Top of stairs for Oak Grove, Tremont Street",,,"Boston","Tufts Medical Center",
"4440",,"Center Street",,"42.217611","-70.938869","Weymouth","Broad St @ Center St","Broad Street"
